Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
SSD,MZ-76Q2T0BW,Samsung,SSD 860 QVO 2TB,244,99.1,22038,https://ssd.userbenchmark.com/SpeedTest/719017/Samsung-SSD-860-QVO-2TB,229
SSD,MZ-76E2T0B,Samsung,SSD 860 EVO 2TB,190,114,26684,https://ssd.userbenchmark.com/SpeedTest/430706/Samsung-SSD-860-EVO-2TB,228
SSD,WDS100T1X0E,WD,Black SN850 1TB,2,440,1267,https://ssd.userbenchmark.com/SpeedTest/1348947/WD-BLACK-SN850-1TB,226
SSD,SD6SF1M-256G-1022,SanDisk,X110 mSATA 256GB,598,72.7,279,https://ssd.userbenchmark.com/SpeedTest/10872/SanDisk-SD6SF1M256G1022,225
SSD,MZ-7PC256B/WW,Samsung,SSD 830 256GB,646,70.1,21055,https://ssd.userbenchmark.com/Samsung-830-256GB/Rating/1387,224
SSD,HDTS451XZSTA,Toshiba,Q300 PRO 512GB,317,90.2,118,https://ssd.userbenchmark.com/SpeedTest/57809/TOSHIBA-Q300-PRO,219
SSD,MZ-7TE120BW,Samsung,SSD 840 EVO 120GB,318,90.2,90730,https://ssd.userbenchmark.com/Samsung-840-EVO-120GB/Rating/1886,218
SSD,PX-G256M6e,Plextor,M6e PCIe M.2 256GB,181,118,1269,https://ssd.userbenchmark.com/SpeedTest/12059/PLEXTOR-PX-G256M6e,216
SSD,SSDMCEAC240B301,Intel,525 Series mSATA 240GB,617,72.1,112,https://ssd.userbenchmark.com/Intel-525-Series-mSATA-240GB/Rating/1509,216
SSD,SSDPEKKW512G7X1,Intel,600p Series 512GB,163,130,19918,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7,215
SSD,MZVPV512HDGL-00000,Samsung,SM951 512GB,89,198,8301,https://ssd.userbenchmark.com/SpeedTest/30300/NVMe-Samsung-MZVKV512,214
SSD,MZ-7TE1T0BW,Samsung,SSD 840 EVO 1TB,225,104,21913,https://ssd.userbenchmark.com/SpeedTest/1436/Samsung-SSD-840-EVO,214
SSD,PX-512M6PRO,Plextor,M6 PRO 512GB,271,94.3,184,https://ssd.userbenchmark.com/SpeedTest/15117/PLEXTOR-PX-512M6PRO,214
SSD,CT250BX100SSD1,Crucial,BX100 250GB,380,85.6,31305,https://ssd.userbenchmark.com/Crucial-BX100-250GB/Rating/3145,214
SSD,TS512GSSD370,Transcend,SSD370 512GB,399,84.5,1274,https://ssd.userbenchmark.com/Transcend-SSD370-512GB/Rating/3472,214
SSD,CT500MX200SSD1,Crucial,MX200 500GB,443,81.8,13421,https://ssd.userbenchmark.com/Crucial-MX200-500GB/Rating/3504,213
SSD,SSDSC2CT240A3,Intel,330 Series 240GB,570,74.4,1571,https://ssd.userbenchmark.com/SpeedTest/3643/INTEL-SSDSC2CT240A3,213
SSD,VTR150-25SAT3-240G,OCZ,Vector 150 240GB,326,89.4,1429,https://ssd.userbenchmark.com/OCZ-Vector-150-240GB/Rating/1748,212
SSD,CSSD-P128GBP-BK,Corsair,Performance PRO 128GB,563,74.8,242,https://ssd.userbenchmark.com/SpeedTest/5273/Corsair-Performance-PRO,210
SSD,TRN150-25SAT3-240G,OCZ,Trion 150 240GB,499,78.5,13418,https://ssd.userbenchmark.com/OCZ-Trion-150-240GB/Rating/3619,209
SSD,CSSD-F960GBMP510,Corsair,Force 960GB,62,236,24936,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510,207
SSD,VTR1-25SAT3-256G,OCZ,Vector 256GB,279,93.3,1813,https://ssd.userbenchmark.com/OCZ-Vector-256GB/Rating/1424,206
SSD,MZ-V8P1T0B,Samsung,SSD 980 PRO 1TB,8,394,25770,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB,204
SSD,SDSSDH3-2T00-G25,SanDisk,Ultra 3D 2TB,242,99.5,2804,https://ssd.userbenchmark.com/SpeedTest/351750/SanDisk-SDSSDH32000G,204
SSD,PH240GPM280SSDR,Patriot,Hellfire 240GB,154,142,1864,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2,201
